id, red, green, blue
0,255,197,174
1,117,152,200
2,233,35,66
3,142,199,84
4,117,41,245
5,213,224,211
6,54,19,80
7,169,62,92
8,106,101,246
9,181,34,53
10,52,125,39
11,197,4,32
12,75,124,161
13,194,8,163
14,31,252,248
15,190,179,91
16,31,85,216
17,115,164,66
18,165,222,228
19,86,239,90
20,62,191,169
21,123,175,61
22,16,166,229
23,97,147,220
24,201,10,79
25,84,213,183
26,207,120,90
27,2,151,112
28,83,151,126
29,39,62,188
30,58,205,18
31,216,131,23
32,221,166,218
33,37,117,7
34,48,130,199
35,202,133,200
36,161,85,124
37,48,252,196
38,185,197,34
39,56,215,80
40,151,10,70
41,83,122,247
42,75,58,58
43,3,200,53
44,240,141,74
45,135,148,75
46,153,44,143
47,253,235,9
48,23,155,226
49,103,197,111
50,173,177,108
51,23,73,98
52,114,8,81
53,52,37,190
54,196,193,159
55,173,136,176
56,103,230,244
57,140,138,244
58,27,138,92
59,192,182,218
60,77,140,173
61,227,130,167
62,72,13,94
63,234,201,29
64,74,18,79
65,160,67,40
66,234,66,84
67,243,246,191
68,151,226,103
69,117,10,91
70,33,31,106
71,151,124,11
72,64,86,117
73,176,213,11
74,73,50,110
75,35,234,25
76,34,68,235
77,143,242,70
78,15,238,223
79,162,95,135
80,13,168,101
81,110,236,219
82,143,177,173
83,18,225,241
84,228,74,202
85,111,126,158
86,182,57,213
87,119,247,18
88,128,113,101
89,208,200,163
90,135,55,184
91,154,131,241
92,195,24,65
93,179,123,223
94,57,84,107
95,1,174,84
96,57,121,236
97,45,233,205
98,170,164,33
99,211,175,143
