id, red, green, blue
0,47,74,254
1,52,124,187
2,139,0,145
3,247,78,22
4,248,114,221
5,4,123,126
6,175,184,111
7,68,106,46
8,252,181,223
9,125,135,222
10,158,115,98
11,99,168,236
12,191,251,19
13,200,98,53
14,158,180,216
15,180,162,235
16,116,68,216
17,21,240,120
18,112,155,208
19,125,102,53
20,193,75,171
21,75,42,174
22,235,170,67
23,90,30,220
24,84,232,124
25,70,210,24
26,78,149,141
27,33,176,194
28,234,120,157
29,109,178,127
30,150,193,217
31,227,146,71
32,195,214,243
33,165,38,156
34,139,161,133
35,159,83,92
36,0,139,55
37,171,66,128
38,127,199,64
39,149,140,114
40,2,90,243
41,255,91,105
42,34,215,82
43,129,229,118
44,16,215,105
45,221,17,98
46,39,236,8
47,68,241,52
48,65,179,89
49,15,245,208
50,233,65,139
51,219,8,116
52,85,185,201
53,72,5,120
54,7,111,113
55,98,168,158
56,66,187,7
57,28,137,132
58,48,182,125
59,243,66,31
60,112,222,75
61,24,3,192
62,44,187,129
63,20,72,123
64,104,150,33
65,249,47,251
66,121,81,87
67,103,23,111
68,103,57,96
69,213,131,38
70,34,183,78
71,82,42,225
72,50,49,175
73,144,21,179
74,231,67,202
75,190,208,39
76,207,151,86
77,87,149,132
78,165,237,123
79,77,170,128
80,19,90,219
81,134,108,25
82,217,122,216
83,56,82,173
84,2,48,113
85,248,249,79
86,25,212,223
87,77,94,47
88,2,252,111
89,151,221,80
90,219,30,156
91,10,157,254
92,235,198,43
93,104,216,2
94,46,143,10
95,27,249,244
96,41,54,254
97,103,152,65
98,199,211,66
99,125,235,49
